gauge_id,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban
35008,0.048,0.7531,0.1455,0.0007,0.0525
36003,0.045,0.7346,0.2003,0.0,0.0193
36006,0.0553,0.7231,0.1876,0.0002,0.0324
36009,0.0276,0.8129,0.1477,0.0,0.0105
36010,0.0311,0.8657,0.0869,0.0,0.0162
36011,0.0535,0.6551,0.1233,0.0,0.1676
36012,0.078,0.7268,0.182,0.0004,0.0123
37001,0.097,0.5834,0.2073,0.0023,0.1071
37003,0.0696,0.7339,0.1602,0.002,0.0314
37005,0.0709,0.646,0.2414,0.0,0.0393
37008,0.0413,0.7501,0.1506,0.0005,0.0548
37009,0.0435,0.6514,0.1685,0.0013,0.1335
37010,0.0618,0.7106,0.1807,0.0034,0.0415
37011,0.049,0.8074,0.1261,0.0004,0.016
37018,0.1302,0.261,0.3408,0.0,0.2636
37019,0.0744,0.1209,0.2922,0.0005,0.5075
37020,0.0441,0.7834,0.1363,0.0005,0.0338
37031,0.1017,0.269,0.2448,0.0,0.3808
37033,0.117,0.0011,0.196,0.0,0.686
38001,0.0973,0.5439,0.2155,0.0012,0.139
38003,0.1076,0.5407,0.2335,0.0018,0.116
38004,0.0727,0.7542,0.1457,0.0011,0.0261
38007,0.0975,0.1675,0.2666,0.0,0.468
38012,0.0881,0.1883,0.2325,0.0,0.4889
38014,0.098,0.2483,0.268,0.0,0.3817
38017,0.1032,0.6755,0.2071,0.0025,0.0113
38018,0.1106,0.3004,0.2533,0.0031,0.3293
38021,0.226,0.2665,0.3711,0.0004,0.1344
38026,0.0925,0.6302,0.1815,0.0,0.0916
38029,0.063,0.7956,0.1253,0.0019,0.0143
38030,0.0983,0.5495,0.223,0.0003,0.128
39001,0.1338,0.393,0.3402,0.01,0.1142
39002,0.0628,0.506,0.3623,0.0045,0.0566
39004,0.1874,0.1046,0.3288,0.0,0.3791
39005,0.06,0.0033,0.172,0.0,0.7647
39006,0.0834,0.4875,0.3901,0.0057,0.0257
39007,0.2456,0.2698,0.217,0.0452,0.2103
39008,0.0673,0.4962,0.3663,0.0056,0.0526
39010,0.1268,0.3319,0.3298,0.0027,0.2033
39011,0.2625,0.3155,0.294,0.0329,0.0924
39012,0.1045,0.0842,0.297,0.0002,0.5135
39014,0.0786,0.5015,0.243,0.0041,0.1718
39015,0.1284,0.6145,0.2119,0.0043,0.0407
39016,0.12,0.544,0.2944,0.0051,0.0337
39017,0.1617,0.2959,0.4763,0.0498,0.0138
39019,0.0689,0.6563,0.2606,0.0017,0.0122
39020,0.111,0.4663,0.4103,0.0048,0.0073
39021,0.0299,0.5547,0.3725,0.0016,0.0392
39022,0.1471,0.4554,0.2343,0.0041,0.1576
39023,0.1909,0.2692,0.3531,0.0026,0.1834
39025,0.2258,0.3915,0.3348,0.0071,0.0395
39027,0.1718,0.517,0.2805,0.0072,0.0229
39028,0.2224,0.5612,0.2073,0.0006,0.0078
39029,0.4507,0.1309,0.3685,0.0075,0.0412
39034,0.0896,0.5554,0.3281,0.0028,0.0222
39035,0.1286,0.4184,0.3984,0.0052,0.0419
39036,0.4772,0.1372,0.3587,0.0018,0.0252
39037,0.0395,0.6636,0.2845,0.0025,0.0099
39042,0.0486,0.6535,0.2827,0.0007,0.007
39049,0.1044,0.0629,0.1968,0.0002,0.6339
39052,0.2403,0.1124,0.3095,0.0069,0.3258
39054,0.1979,0.1595,0.4105,0.0,0.228
39056,0.1275,0.112,0.2623,0.0,0.4974
39061,0.0308,0.478,0.4828,0.0,0.0055
39065,0.1581,0.6058,0.222,0.0049,0.0093
39069,0.2258,0.1362,0.3826,0.0013,0.2509
39072,0.1025,0.4616,0.341,0.0067,0.0807
39078,0.1375,0.5034,0.3088,0.0017,0.0482
39081,0.042,0.5965,0.3231,0.0038,0.0336
39087,0.0372,0.172,0.4479,0.012,0.3286
39088,0.1461,0.3148,0.4502,0.0018,0.0858
39095,0.129,0.0103,0.1848,0.0003,0.6757
39099,0.045,0.5833,0.3581,0.0043,0.0092
39101,0.0372,0.6441,0.2975,0.0022,0.0189
39105,0.0556,0.398,0.4755,0.0024,0.0656
39108,0.1967,0.3487,0.4436,0.0053,0.0053
39114,0.0604,0.6796,0.2384,0.0075,0.0141
39120,0.1401,0.4801,0.3485,0.0018,0.0293
39125,0.0893,0.556,0.279,0.0065,0.0692
39127,0.1957,0.3871,0.3592,0.0034,0.0545
39141,0.2914,0.2562,0.3317,0.034,0.0835
39142,0.1006,0.4875,0.4031,0.0039,0.0047
39143,0.1064,0.3811,0.4963,0.0043,0.0082
39144,0.0253,0.5735,0.3793,0.0006,0.0203
40003,0.19,0.2937,0.4464,0.0065,0.0559
40004,0.2577,0.1635,0.5606,0.0003,0.0131
40005,0.1312,0.3776,0.4651,0.0009,0.0226
40006,0.2441,0.3227,0.3713,0.0062,0.0546
40007,0.273,0.1789,0.4456,0.0281,0.0685
40009,0.2806,0.2222,0.4502,0.0004,0.0195
40010,0.1684,0.2642,0.4937,0.0004,0.064
40011,0.1597,0.4642,0.3003,0.0013,0.0714
40012,0.211,0.3362,0.3247,0.0027,0.1178
40013,0.2671,0.2676,0.3228,0.005,0.1274
40016,0.1327,0.1868,0.3017,0.0007,0.3764
40017,0.3264,0.1108,0.5547,0.0,0.008
40018,0.2596,0.2758,0.3354,0.004,0.1163
4001,0.1187,0.0027,0.1913,0.6475,0.0004
40020,0.2694,0.1772,0.4658,0.0,0.0852
40021,0.231,0.3289,0.4181,0.0026,0.0185
40022,0.1128,0.5281,0.3003,0.0019,0.0555
40033,0.1195,0.4014,0.4129,0.0,0.0655
4003,0.2061,0.019,0.1037,0.6534,0.001
4005,0.0623,0.0001,0.1729,0.7553,0.0001
4006,0.0277,0.0013,0.1789,0.7617,0.0
41001,0.1426,0.1641,0.6798,0.0,0.0125
41003,0.1509,0.2703,0.5389,0.0,0.0351
41004,0.2033,0.2195,0.5344,0.0034,0.0346
41005,0.2484,0.1975,0.4991,0.0034,0.0442
41006,0.1779,0.2077,0.5679,0.0003,0.0444
41009,0.2992,0.2775,0.362,0.0205,0.0389
41011,0.2441,0.2783,0.4068,0.0183,0.0505
41012,0.137,0.2595,0.4825,0.002,0.1177
41013,0.1382,0.2046,0.6553,0.0,0.0014
41014,0.2849,0.2332,0.4252,0.0033,0.0511
41016,0.1831,0.2253,0.5657,0.0,0.0255
41019,0.2274,0.2489,0.4333,0.0035,0.084
41020,0.116,0.2646,0.5969,0.0005,0.0207
41022,0.4947,0.1542,0.3208,0.0037,0.0247
41023,0.373,0.3583,0.2526,0.0027,0.0133
41025,0.442,0.1585,0.3509,0.0036,0.0437
41027,0.2386,0.1799,0.4797,0.0364,0.0632
41028,0.127,0.3768,0.4707,0.0005,0.0245
41029,0.2012,0.2341,0.5563,0.0,0.006
42001,0.1561,0.3989,0.3449,0.0032,0.0965
42003,0.5159,0.017,0.1716,0.2715,0.0239
42004,0.1382,0.5717,0.2551,0.0042,0.03
42006,0.0999,0.469,0.4186,0.0023,0.0101
42008,0.1163,0.6421,0.2263,0.0019,0.0134
42010,0.1169,0.5876,0.2425,0.0031,0.0494
42011,0.1288,0.3617,0.4604,0.0047,0.044
42016,0.1223,0.6366,0.226,0.0026,0.012
42017,0.2319,0.079,0.2471,0.0089,0.4331
42024,0.1294,0.629,0.2214,0.0037,0.016
42026,0.0316,0.6035,0.3362,0.004,0.0246
42027,0.1087,0.7301,0.1473,0.002,0.0119
43005,0.0425,0.4333,0.4978,0.002,0.0241
43006,0.1556,0.4783,0.349,0.0014,0.0133
43007,0.0882,0.4346,0.4285,0.0051,0.0424
43008,0.0764,0.3852,0.5175,0.0033,0.0164
43009,0.0618,0.3454,0.5653,0.0011,0.0255
43014,0.0547,0.6211,0.3045,0.0009,0.0179
43017,0.013,0.674,0.296,0.0011,0.0156
43018,0.1186,0.6318,0.2425,0.0021,0.0043
43021,0.0981,0.4265,0.4144,0.0288,0.0295
44001,0.0989,0.4352,0.4154,0.0174,0.0315
44002,0.1032,0.5291,0.3318,0.0206,0.0135
44006,0.0876,0.3401,0.5665,0.0011,0.0048
44009,0.0158,0.451,0.4859,0.0,0.0383
44011,0.1095,0.2539,0.6047,0.0018,0.03
45001,0.1253,0.1237,0.7147,0.0207,0.0129
45003,0.0949,0.3341,0.5269,0.0076,0.0359
45004,0.0792,0.3873,0.5066,0.0022,0.0243
45005,0.1006,0.391,0.4456,0.0209,0.0414
45009,0.1171,0.0339,0.7885,0.0462,0.0036
45012,0.1225,0.5101,0.3524,0.0027,0.0124
46003,0.1584,0.08,0.5399,0.211,0.0102
46005,0.0581,0.0,0.4308,0.5111,0.0
46008,0.1188,0.2772,0.4926,0.1001,0.0095
46014,0.2539,0.2611,0.4225,0.0545,0.0049
47001,0.1142,0.3603,0.5012,0.0125,0.0079
47004,0.1462,0.3086,0.5137,0.0186,0.0127
47005,0.0616,0.4268,0.4981,0.01,0.0035
47008,0.1345,0.3334,0.4989,0.0034,0.0039
